PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|CC_TYPE|STYLE|NO_LIVING_LEVELS|LOT_SIZE|ACRE|SQUARE_FEET|BASEMENT|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|LIV_LEVEL|LIV_DIMEN|LIV_DSCRP|DIN_LEVEL|DIN_DIMEN|DIN_DSCRP|FAM_LEVEL|FAM_DIMEN|FAM_DSCRP|KIT_LEVEL|KIT_DIMEN|KIT_DSCRP|MBR_LEVEL|MBR_DIMEN|MBR_DSCRP|BED2_LEVEL|BED2_DIMEN|BED2_DSCRP|BED3_LEVEL|BED3_DIMEN|BED3_DSCRP|BED4_LEVEL|BED4_DIMEN|BED4_DSCRP|BTH1_LEVEL|BTH1_DIMEN|BTH1_DSCRP|BTH2_LEVEL|BTH2_DIMEN|BTH2_DSCRP|LAUNDRY_LEVEL|LAUNDRY_DIMEN|LAUNDRY_DSCRP|OTH1_ROOM_NAME|OTH1_LEVEL|OTH1_DIMEN|OTH1_DSCRP|OTH2_ROOM_NAME|OTH2_LEVEL|OTH2_DIMEN|OTH2_DSCRP|OTH3_ROOM_NAME|OTH3_LEVEL|OTH3_DIMEN|OTH3_DSCRP|OTH4_ROOM_NAME|OTH4_LEVEL|OTH4_DIMEN|OTH4_DSCRP|OTH5_ROOM_NAME|OTH5_LEVEL|OTH5_DIMEN|OTH5_DSCRP|OTH6_ROOM_NAME|OTH6_LEVEL|OTH6_DIMEN|OTH6_DSCRP|FEE_INTERVAL|BED5_LEVEL|BED5_DIMEN|BED5_DSCRP|BTH3_LEVEL|BTH3_DIMEN|BTH3_DSCRP|COUNTY|STATE|ASSESSMENTS|TAXES|TAX_YEAR|HOA_FEE|UNIT_LEVEL|GARAGE_SPACES|GARAGE_PARKING|PARKING_SPACES|PARKING_FEATURE|NO_BATHS|FLOORING|CONSTRUCTION|EXTERIOR_UNIT_FEATURES|INTERIOR_FEATURES|HEAT_ZONES|HEATING|COOLING_ZONES|COOLING|ELECTRIC_FEATURE|WATER|SEWER|APPLIANCES|NO_UNITS|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|TOTAL_PARKING|SHORT_SALE_LENDER_APP_REQD|AboveGradeFinishedArea|BelowGradeFinishedArea|TITLE5
"CC"|72953820|"CN202794"|"AN0499"|"ACT"|12000000|"34.5"|"Beacon St"|"PHN"|1|"102"|"02108"|"N"|"One-of-a-kind 8,000+ sq ft Penthouse situated atop one of Beacon Hill's most prestigious buildings: The Tudor. This spectacular and unique residence awaits your customization and buildout is comprised of 3 contiguous condos that have been combined into one expansive penthouse encompassing the entire 7th floor, half of the 8th floor and a large 9th floor entertaining space that opens to a 1,600 sq ft wrap around terrace. A spectacular Charles Bullfinch inspired spiral staircase has been installed and connects the 3 floors of living. This once-in-a-life time opportunity to acquire and customize more than 8,000 sq ft of living space with sweeping views from the gold dome of the State House, to the full skyline of Downtown as a back drop over Boston Common to the ""high-spine"" of Back Bay, with glorious sunsets over the famed Charles River, to Cambridge and beyond. This rare assembly of space has direct elevator access, private storage, a resident super, concierge and valet parking."|21|7/29/2024 10:07:00 AM|0|"N"||"A"|"G,J"|3|||8068|"N"|18|5|6|2|"Y"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"A"|||||||"Suffolk"|"MA"|12407300|130475.2|"2022"|14960.3|9|4|"B"|0|"A,B,P"|"6f;2h"||"B,C"|"C,M"|||"A,B"||"A"||"A"|"A"||17|"N"||"Y"|"N"||"N"|"Unit 7N, 2,355, Unit 7S 2,707, Unit PHN 3,011"|4|"N"|8068||
"CC"|73070456|"C2609011"|"AN4471"|"ACT"|3395000|"110"|"Broad Street"|"703"|1|"106"|"02110"|"N"|"Stunning boutique residence with concierge and harbor views set along the Rose Kennedy Greenway.  Imagine the opportunity to enjoy downtown living near restaurants shopping and nearby parks and public walkways. This three bedroom three and a half bathroom condominium offers a unique open floor plan.  Show stopping modern kitchen with high end appliances and entertainment size island is perfect for gatherings. Gorgeous floor to ceiling walls of glass bring in the natural light while evening views showcase city lights from the living room. Enjoy the open floor plan with a gas fireplace and spacious dining area. Each bedroom has an en-suite bathroom and plenty of closet space. The Boulevard offers concierge, fitness center, club room, pet spa and an automated parking system. Minutes to Seaport, North End, Faneuil Hall, and many restaurants and shops. This is a special building with lovely features in a fabulous location. Not to be missed!"|22|1/12/2023 10:30:00 PM|0|"N"||"A"|"F"|1|||2319|"N"|6|3|3|1|"Y"|"1"||"C,79"|"1"||"79"||||"1"||"33,5,47,51,60,79"|"1"|"16X16"|"79"|"1"|"11X13"|"79"|"1"|"17X12"|"79"||||"1"||"A,21,I"|"1"||"19,L,33"|"1"||"2"|"BTH"|||"B,2,79"|||||||||||||||||||||"A"||||"1"||"19,L,33"|"Suffolk"|"MA"|3018400|32731|"2023"|1900.51|7|2|"C"|0||"3f;1h"|"C,U"|"C"|"G"|||"A,B"||"A"|"D"|"A"|"A"|"B,C,D,F,H,I,J,K,L"|36|"N"||"Y"|"F"||"N"||2|"N"|2319||
"CC"|73091020|"BB910882"|"BB8075"|"ACT"|575000|"13"|"S Russell St"|"1"|1|"102"|"02114"|"N"|"New Construction . Bright and sunny Parlor level one bedroom. Gleaming hardwood floors, stainless appliances including dishwasher, tiled bathroom. Laundry in building. Steps from Mass General Hospital, Whole Foods, Red and Blue lines."|9|4/24/2023 3:00:00 PM|0|"N"||"A"|"J"|1|473|0.01|473|"N"|3|1|1|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"A"|||||||"Suffolk"|"MA"|516100|5543|"2023"|300|1|0||0||"1f;0h"|||||1|"C"|0|"L"||"A"|"A"||4|"N"|||||"N"||0|"N"|473||
"CC"|73121444|"TM002210"|"AN2593"|"ACT"|1700000|"110"|"Stuart Street"|"PH1"|1|"101"|"02116"|"N"|"Rarely available south facing Penthouse at the W Residences with glass curtainwall offering glorious views of Boston Harbor Islands & Blue Hills! Oversized 1 bedroom plus den with full bath is nearly 1400sf of stylized design finishes and dark wood flooring. Enormous open living and dining perfect for entertaining a crowd or stargazing over the water. Sleek euro-style dark wood cabinetry with premium integrated appliances and lots of storage serves every lifestyle. Lovely views from the primary and spa-inspired bath with double vessel sinks/freestanding tub and glass curtainwall views is en-suite. The W's amenities are legendary with 24-hour concierge, valet and direct elevator access to the fitness center and W Hotel Lounge. Discounted maid/laundry + Bliss spa packages available. Live at the convergence of theatre, nightlife and renowned dining/shopping of Boston. Easy commuter options via Logan Airport, public transit & enjoy festivities along Waterfront/Rose Kennedy Greenway Parks!"|23|6/7/2023 9:42:00 AM|0|"N"||"A"|"F"|1|||1393|"N"|3|1|2|0|"Y"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"A"|||||||"Suffolk"|"MA"|1696000|18486|"2024"|2064|28|1||0||"2f;0h"|"A,C,E"|||||"A,G"||"A,D"||"A"|"A"|"B,C,F,H,I,J,K,L,Q"|122|"N"||"Y"|"F,J"|"N"|"N"||1|"N"|1393||
"CC"|73129653|"CT000707"|"NB5077"|"ACT"|10000000|"2"|"Avery Street"|"30EF"|1|"108"|"02111"|"N"|"Rarely available Ritz-Carlton EF combination home!  Perched high atop the 30th floor, this home offers unparalleled views spanning from Back Bay and The Charles River to The Financial District and Boston Harbor.  The grand E unit is perfectly appointed with custom features throughout including a sound system, automatic window treatments and lighting system.  The upgraded eat-in kitchen is equipped with Poggen-Pohl cabinets, Sub-Zero refrigerator and wine chiller, Wolf gas cook top, Miele Wall ovens and Miele dishwasher.  The generous master suite includes his and her custom tiled baths and walk-in closet.  2 additional guest bedrooms complete this home.  Unique opportunity to combine the E and the F unit to create 5 total bedrooms.  Additional features include private terrace, 3 valet garage parking spaces.  Located in the desirable South Tower with direct elevator access to Equinox, Blue and the hotel lobby.  Residents enjoy 24 hour concierge, doorman, security and guest parking."|35|6/26/2023 1:44:00 PM|0|"N"||"A"|"F"|1|||4130|"N"|8|5|5|2|"Y"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"A"|||||||"Suffolk"|"MA"|5795700|59220.3|"2021"|7223|30|3||3||"5f;2h"|"A"||"G"|"C"||"C"||"A"||"A"|"A"|"B,C,D,H,I,K,L"|172|"N"||"Y"|"N"||"N"|"Units have not yet been combined."|6|"N"|4130||
"CC"|73136276|"CN221841"|"AC0342"|"ACT"|2200000|"110"|"Stuart"|"23B"|1|"101"|"02116"|"N"|"Marvelous three-corner unit at the W Residences 2 bedroom /2.5 bath with amazing views of the city from 23rd floor! Spacious living/dining room with bamboo solid grain flooring two good sized bedrooms with South facing views over the Boston Harbor Islands and Blue Hills. Spa-like master bath with double vanity and walk-in closet. Enjoy all of the amenities of The W hotel. Professionally managed 24/7 concierge /doorman building w/fitness center, room service, spa, The W Lounge and so much more. Fabulous location close to the Public Garden, The Commons, fine dining and shopping, Theater District, all major highways and public transportation."|14|7/15/2023 12:07:00 PM|0|"N"||"A"|"F"|1|||1794|"N"|4|2|2|1|"Y"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Suffolk"|"MA"|1928000|20902|"2024"|2631.8|23|1|"F"|0|"H"|"2f;1h"|"J,M"|"B,C"|"O"|"D"||"B"||"A"||"A"|"A"|"A,C,D,F,H,I,J,K,L"|102|"N"|||||"N"||1|"N"|1794||
"CC"|73139497|"C2609011"|"AN4471"|"ACT"|6195000|"110"|"Broad Street"|"1101"|1|"106"|"02110"|"N"|"Like nothing you have seen, this stunning Penthouse residence at The Boulevard set along the Rose Kennedy Greenway has gorgeous views and two floors of extraordinary living. Love living in Boston's Waterfront neighborhood near fabulous restaurants, shopping and nearby parks and public walkways. This three bedroom, three and half bathroom penthouse offers a unique open floor plan of more than 4,000 sf.  Unbelievable kitchen with beautiful cabinetry, high end Wolf and Sub Zero appliances, entertainment size island.  Gorgeous floor to ceiling walls of glass bring in the natural light. Open floor plan allows for formal dining, a separate sitting area plus an office space in addition to the fabulous living room. Each bedroom has an en-suite bathroom and great closet space. Private rooftop deck with amazing views! The Boulevard offers concierge, fitness center, club room, pet spa and a robotic parking system. Minutes to Seaport, North End, Faneuil Hall, easy access to Mass Pike, 93."|41|10/31/2023 11:00:00 PM|0|"N"||"A"|"F"|2|||4054|"N"|8|3|3|1|"Y"|"1"|"25X23"|"C,44"|"1"||"2,44"||||"1"||"V,O,U,2,5,26,44,47,51"|"2"|"30X18"|"A,C,I,37"|"2"|"25X12"|"A,I,V"|"2"|"10X23"|"A,I,V"||||"2"||"A,14,21,I,L,33,36"|"2"||"A,19,U"|"1"||"39,57"|"BTH"|"1"|"7X9"|"B,L"|"FOY"|"1"|"9X10"|"V"|"SIT"|"1"|"18X16"|"2"|"HMO"|"1"|"11X25"|"2"|||||||||"A"||||"2"||"A,21,U"|"Suffolk"|"MA"|6769700|73422.91|"2023"|3227.83|11|2|"C"|0||"3f;1h"|"C,U"|"B"|"4"|||"B,I"||"A"|"D"|"A"|"A"|"B,C,D,F,H,I,J,K,L"|36|"N"||"Y"|"F"||"N"||2|"N"|4054||
"CC"|73142792|"BB804137"|"AN2383"|"ACT"|2995000|"778"|"Boylston"|"W6C"|1|"101"|"02199"|"N"|"Elegant, corner 2+ bedroom residence at The Residences at Mandarin Oriental in Boston’s prime Back Bay location is turnkey, glistening with natural sunlight.  This large, sun-drenched 2+ bedroom home feels bright and airy with a welcoming entry foyer, an open and spacious layout, and separate dining.  The plus room offers tremendous optionality as a den, office, or 3rd bedroom. 17 floor-to-ceiling windows showcase extraordinary views of Boylston Street and Back Bay.  Well proportioned bedrooms, both ensuite, feature abundant closet space and beautiful baths.  24/7 concierge, doorman, and security; gym and spa; Ramsay’s kitchen with in-room dining. Direct access to the Prudential Center.  1 Valet parking space completes this stunning home.  Also available for rent for $12,000 per month."|19|8/1/2023 8:28:00 AM|0|"N"||"A"|"G"|1|||1589|"N"|5|2|2|1|"Y"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"A"|||||||"Suffolk"|"MA"|3182700|34513.28|"2024"|4714.29|6|1|"A,C"|0||"2f;1h"|||||2|"A"|2|"A"||"A"|"A"||35|"N"|||||"N"||1|"N"|1589||
"CC"|73145251|"BB910344"|"AN4902"|"ACT"|11515000|"1"|"DALTON STREET"|"4503|4504"|1|"101"|"02115"|"N"|"Special opportunity to purchase adjacent Units 4503|4504 @ spectacular One Dalton. With its exclusive entry elevator foyer, these 45th floor well-appointed units provide nearly 4,000 SF of open layout living area, 5 beds with en suite baths & 3 valet pkg spaces. The magnificent 180 degree views stretch east to west, from Boston Harbor sunrises to southerly Blue Hills to Charles River sunsets. Walls of glass, with floor to ceiling windows, enhance the views & add bountiful natural light. Open kitchens are light & bright with generous cabinets, stone counters & full complements of luxury appliances.  Other features include stone baths with frameless glass, master bath tubs & radiant floor heat, 10+ FT ceilings with indirect lighting, custom fireplace mantles, electric shades & custom California Closets systems. One Dalton amenities include 24-7 concierge/doorman services, valet pkg, Four Seasons food services, 50th floor resident clubroom, indoor pool, fitness room & movie theater room."|33|5/8/2024 1:01:00 PM|0|"N"||"A"|"F"|1|||3965|"N"|9|5|5|2|"Y"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"A"|||||||"Suffolk"|"MA"|10890700|119837|"2024"|8034|45|3|"A,C,F,I,J"|0|"E,F"|"5f;2h"|"E,Q,U"|||||"A,B"||"A"||"A"|"A"|"B,C,D,F,H,I,K,L,Q"|160|"N"||"Y"|"F,N"||"N"|"Units not combined. Options incl keeping the units separate or combining them into one spacious unit"|3|"N"|3965||
"CC"|73145252|"BB910344"|"AN4902"|"ACT"|7665000|"1"|"DALTON STREET"|"4504"|1|"101"|"02115"|"N"|"Unit 4504 @ spectacular One Dalton provides a warm classic residence with elegant finishes. This well-appointed apartment provides 2,500 SF of open layout living space with 3 beds with en suite baths & 2 valet pkg spaces. The magnificent 180 degree views stretch east to west, from Boston Harbor sunrises to southerly Blue Hills to Charles River sunsets. Walls of glass, with floor to ceiling windows, enhance the views & add bountiful natural light. The open kitchen is light & bright with generous cabinets, stone counters & a full complement of luxury appliances.  Other features include stone baths with frameless glass, master bath tub & radiant floor heat, 10-11 FT ceilings with indirect lighting, custom gas fireplace mantle, electric shades & custom California Closets system. One Dalton amenities include 24-7 concierge/doorman services, valet pkg, Four Seasons food services, 50th floor resident clubroom, indoor pool, fitness room & movie theater room."|28|5/8/2024 1:03:00 PM|0|"N"||"A"|"F"|1|||2558|"N"|6|3|3|1|"Y"|"1"||"C,44,77,79"|"1"||"44,77,79"||||"1"||"U,5,44,77,79"|"1"||"A,I,W,M"|"2"||"A,M"|"3"||"A,79"||||"1"||"A,24"|"1"||"A"|"1"|||"BTH"|"1"||"B"|||||||||||||||||||||||||"1"||"A"|"Suffolk"|"MA"|7071300|77837|"2024"|5368|45|2|"A,C,F,I,J"|0|"E,F"|"3f;1h"|"E,Q,U"|||||"A,B"||"A"||"A"|"A"|"B,C,D,F,H,I,K,L"|160|"N"||"Y"|"F,N"|"N"|"N"||2|"N"|2558||
