PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|COUNTY|STATE|RN_TYPE|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|PARKING_SPACES|LOT_SIZE|SQUARE_FEET|NO_BATHS|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|DATE_AVAILABLE|BASEMENT|YEAR_BUILT|YEAR_BUILT_DESCRP|APPLIANCES|EXTERIOR_FEATURES|HEATING|INTERIOR_BLDG_FEAT|AboveGradeFinishedArea|BelowGradeFinishedArea
"RN"|71296098|"A9501571"|"A95338"|"ACT"|12000|"8"|"Beach Plum Path, OB525"||125||"02557"||"THIS IS A SUMMER RENTAL ONLY. This irresistible home is a 3-minute walk away from a deeded, sandy, sheltered beach and only a 5-minute drive to the center of Oak Bluffs and all the fun activities that Circuit Avenue has to offer. The casual getaway has wonderful ambiance enhanced by its soaring ceilings, a wood-burning fireplace, and delightful furnishings."|8|10/4/2011 2:17:00 PM|255|"N"||"Dukes"|"MA"|"A"|5|3|1|1||2|12000|820|"1f;1h"|"N"||||||||||||||||
"RN"|71296569|"A9501571"|"A95338"|"ACT"|13200|"8"|"Lobsterville Road, AQ602"||121|"GAY"|"02535"||"Uniquely designed, 3-bedroom, 2 full bath contemporary home, divided between three floors and set upon an acre of lush grounds with waterviews overlooking Vineyard Sound and the Elizabeth Islands. Privacy enhanced with large tracts of conservation land nearby and walking distance to Lobsterville Beach."|12|7/16/2014 3:36:00 PM|4095|"N"||"Dukes"|"MA"|"A"|6|3|2|0||4|51600|1400|"2f;0h"|"N"|||||||||||"C,F,K,L"|||"D"||
"RN"|71298769|"A9501571"|"A95338"|"ACT"|56000|"337"|"Barnes Rd,  OB526"||125||"02557"||"THIS IS A SUMMER RENTAL ONLY.  This home offers a spacious open floor plan providing a comfortable yet elegant retreat, truly an upscale surprise, perfect for relaxing or entertaining. With an expansive mahogany wraparound deck, sweeping views and a screened-in porch, enjoying the evening sunsets while grilling and dining al fresco or try a nearby bistro or 5 star restaurant----the choice is yours."|8|7/15/2014 1:04:00 PM|255|"N"||"Dukes"|"MA"|"A"|8|4|2|1||3|0.84|3000|"2f;1h"|"Y"|||||"N"||||||||||3000|
"RN"|71299593|"A9501571"|"A95338"|"ACT"|12500|"138"|"South Rd, CH228"||122||"02535"||"THIS IS A SUMMER RENTAL ONLY.  This newly remodeled 3 bedroom 2 bath has a spacious master bedroom suite, cozy sun room and updated kitchen. It has a great yard with garden landscaping, a perfect spot for outdoor dining. 1.5 miles from Alley's store. 3.3 miles to Lucy Vincent Beach.The bathrooms are fully remodeled. An easy, comfortable house in a central location.  Three ceiling fans and 3 portable fans."|12|7/16/2014 4:05:00 PM|4095|"N"||"Dukes"|"MA"|"A"|6|3|2|0||2|3|1800|"2f;0h"|"N"||||||||||||||||
"RN"|71300155|"A9501571"|"A95338"|"ACT"|14000|"73"|"Quenames Rd,  CH205"||122||"02535"||"THIS IS A SUMMER RENTAL ONLY.  This bright and cheerful, wooded retreat is truly tranquil, yet just a little over a mile from West Tisbury village, with its General Store (Alley's), Farmer's Market, Artisan's Festivals and Flea Market. This home has been recently updated by its new owners. They have chosen the loveliest colors and simple, appropriate cottage touches. There is a new expansive deck and large screened porch perfect for lounging and dining."|13|7/17/2014 2:18:00 PM|8191|"N"||"Dukes"|"MA"|"A"|6|3|2|0||2|4|1800|"2f;0h"|"N"||||||||||||||||
"RN"|71301383|"A9501571"|"A95338"|"ACT"|27000|"20"|"Bay Lot Circle, ED323"||126||"02539"||"THIS IS A SUMMER RENTAL ONLY. Vacation by the beach in a relaxed contemporary home offering fabulous panoramic views of Edgartown Harbor, Chappiquidick, Katama Bay and South Beach. Our Katama Bay home is located off of Edgartown Bay Road at the quiet cul-de-sac,close to the beaches and boat launch access. For those who love the ocean breezes and sandy beaches, there is great sunbathing, windsurfing, sailing, boating and shellfishing-all within view."|13|7/14/2014 4:32:00 PM|8191|"N"||"Dukes"|"MA"|"A"|7|4|3|1||2|0.54|1962|"3f;1h"|"N"||||||||||||||||
"RN"|71301386|"A9501571"|"A95338"|"ACT"|30000|"101"|"PeasePoint Way,  ED324"||126||"02539"||"THIS IS A SUMMER RENTAL ONLY. This grand and stately home is located in Starbuck Point in Edgartown. The home is elegantly furnished with traditional charm . The Captain's house is surrounded by neatly manicured lawns and the ocean is at the end of the street. It is a five minute walk to the Edgartown Village and Harbor for shopping, dining or theater."|15|7/14/2014 3:24:00 PM|32767|"N"||"Dukes"|"MA"|"A"|6|3|3|0||2|0.23|2888|"3f;0h"|"N"||||||||||||||||
"RN"|71303478|"A9501571"|"A95338"|"ACT"|40000|"120"|"Eastville Ave OB520"||125||"02557"||"THIS IS A SUMMER RENTAL ONLY. Watch the boats come and go from the harbor while you picnic and relax on your beach. This fabulous waterfront three bedroom main house and three bedroom guest house also offers your own dock and mooring."|15|7/15/2014 11:44:00 AM|32767|"N"||"Dukes"|"MA"|"A"|11|6|3|0||2|0.61|1704|"3f;0h"|"Y"||||||||||||||||
"RN"|71721686|"A9501571"|"A95338"|"ACT"|18000|"40"|"Lighthouse Rd, AQ610"||121||"02535"||"Great water view property in Aquinnah - this immaculate contemporary has that unique combination of a beautifully designed and constructed, year-round home, AND an outstanding view of the Sound and Elizabeth Islands. Not only is the water view property packed with many custom details, but the home's layout is perfect for relaxed living - with a fantastic kitchen open to the dining and living areas that spill right out onto the screened porch and deck. The master suite at the far end of the house is large and gracious - and each of these rooms enjoys unobstructed views right out over the Sound. The lower level is walk-out on the back side of the house and has lovely, sunny bedrooms at each end with a tiled family room, bath and laundry in between. There is A/C for any steamy summer days, a roof deck with knockout water views, handsome landscaping and exterior finishes.  The living room has a ceiling fan."|26|10/22/2018 12:36:00 PM|871434247|"N"||"Dukes"|"MA"|"A"|6|3|2|1||2|0.94|2400|"2f;1h"|"N"||||||||||||||||
"RN"|71721689|"A9501571"|"A95338"|"ACT"|13000|"14"|"Pulpit Rock Drive, OB501"||125||"02557"||"PRICES ARE WEEKLY NOT MONTHLY.  Located in Waterview Farms, this four bedroom home features a private beach on Sengekontacket Pond, private dock access to Land Bank boat launch and several walking trails. Just minutes to Farm Neck Golf Course, beaches and town."|21|7/30/2014 4:34:00 PM|2097151|"N"||"Dukes"|"MA"|"A"|7|4|3|0||2|0.37|2500|"3f;0h"|"N"||||||||||||||||
